"Duration (in seconds)","Finished","RecordedDate","ExternalReference","UserLanguage","Q5","Q6","Q1","Q7","Q8","Q9","Q27","Q10","Q24","Q23","Q24_1","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q22_1","Q22_2","Q22_3","Q22_4","Q29_1","Q29_2","Q29_3","Q29_4","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","source","RandomID","Q40 - Parent Topics","Q40 - Topics"
"229","True","2020-06-01 10:46:28",NA,"EN","Telengana","hyderabad","3","30-39","Female","1","Yes","IT","Yes","1-5","0","1","0","1","0","5","0","0","1","0","0","0","0","4","0","0","0","1","0","0","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2669",NA,NA
"1187","True","2020-06-01 10:46:29",NA,"EN","Tamil Nadu","Coimbatore","2","40-49","Other","3","No","self employed","Yes","6-10","0","0","1","0","0","0","0","0","0","2","1","3","5","2","1","0","4",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","2","0","1","1","2","2","2","3","0","1",NA,"3151",NA,NA
"179","True","2020-06-01 10:47:21",NA,"EN","Karnataka","Bengaluru","5+","30-39","Female","1","No",NA,"No","0","0","0","4","1","2","2","0","0","0","3","5","5","5","5","6","5","5",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","1","1","2","1","1","1",NA,"3128",NA,NA
"120","True","2020-06-01 10:47:22",NA,"EN","Andra Pradhesh","guntur","5+","30-39","Female","1","Yes","self emplyoed","No","1-5","1-5","0","2","1","0","2","0","1","0","0","1","1","1","0","1","1","1","2","1","2","1","2","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3185",NA,NA
"201","True","2020-06-01 10:47:27",NA,"EN","Tamil Nadu","MADURAI","4","20-29","Male","1","Yes","AMAZON M TURKER","Yes","1-5","6-10","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","4","3","4","3","4","3","4","3","4",NA,"5067",NA,NA
"231","True","2020-06-01 10:47:36",NA,"EN","Tamil Nadu","chennai","3","20-29","Male","0","Yes","Software engineer","No","1-5","0","1","2","2","1","2","2","2","2","3","2","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","1","2","2","1","1","1","1","1","1",NA,"2443",NA,NA
"177","True","2020-06-01 10:47:40",NA,"EN","Tamil Nadu","Virudhunagar","5+","30-39","Male","2","Yes","Teacher","Yes","1-5","0","1","2","2","0","5","0","0","0","0","3","2","0","0","0","0","0","2","3","4","1","1","4","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1881",NA,NA
"476","True","2020-06-01 10:48:17",NA,"EN","Maharashtra","Mumbai","4","40-49","Female","1","No",NA,"Yes","1-5","0","0","2","1","0","2","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","0","0","1","2",NA,"1","0","0","1",NA,"9764",NA,NA
"464","True","2020-06-01 10:48:17",NA,"EN","Maharashtra","Mumbai","5+","40-49","Male","1","Yes","Business","Yes","1-5","0","0","1","0","0","1","0","0","1","0","1","0","0","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","0","0","0","2","1","1","0","0","0",NA,"1952",NA,NA
"253","True","2020-06-01 10:48:36",NA,"EN","Tamil Nadu","Channai","5+","20-29","Male","0","Yes","Computer operater","No","1-5","0","6","5","6","6","5","6","4","5","5","6","4","5","5","6","6","5","4","5+","4","4","5+","4","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8674",NA,NA
"128","True","2020-06-01 10:49:37",NA,"EN","Madhya Pradesh","Jabalpur","4","20-29","Male","1","Yes","It consultant","No","1-5","1-5","5","6","5","6","7+","6","7+","6","4","5","5","5","5","2","5","1","4","4","1","4","4","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9345",NA,NA
"215","True","2020-06-01 10:50:01",NA,"EN","Tamil Nadu","Trichy","4","30-39","Female","1","Yes","Quality control","Yes","1-5","0","0","1","1","1","1","0","0","1","0","1","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","0","1","1","0","0","0","0","0","0",NA,"3608",NA,NA
"158","True","2020-06-01 10:50:35",NA,"EN","Tamil Nadu","virudhunagar","5+","30-39","Male","2","Yes","Teacher","Yes","1-5","0","0","5","5","3","6","2","1","0","0","1","1","0","0","0","0","0","4","5+","2","4","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8657",NA,NA
"431","True","2020-06-01 10:50:38",NA,"EN","Maharashtra","Mumbai","4","50-59","Male","1","Yes","Business","No","16+","0","0","2","1","0","2","0","0","1","0","1","1",NA,"1","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,"7244",NA,NA
"176","True","2020-06-01 10:51:57",NA,"EN","Karnataka","Bangalore","2","40-49","Female","1","No","Home maker","No","0","0","0","1","3","0","1","0","0","0","0","1","2","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","3","0","0","0","0","0","2",NA,"7802",NA,NA
"265","True","2020-06-01 10:52:17",NA,"EN","Tamil Nadu","Erode","3","20-29","Male","2","Yes","Business","Yes","6-10","1-5","6","5","7+","6","4","5","7+","6","6","5","7+","6","4","5","7+","5",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","5+","4","3","5+","4","3","5+","4","3","5+",NA,"8739",NA,NA
"116","True","2020-06-01 10:52:19",NA,"EN","Tamil Nadu","Madurai","4","30-39","Female","0","Yes","Engineer","No","1-5","1-5","7+","6","6","7+","6","6","7+","6","6","6","6","7+","7+","6","6","6","4","4","5+","4","5+","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3086",NA,NA
"119","True","2020-06-01 10:52:41",NA,"EN","Assam","dispur","4","40-49","Male","4","Yes","enginerring","Yes","6-10","1-5","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","1","0","0","0","0","1",NA,"7082",NA,NA
"194","True","2020-06-01 10:52:48",NA,"EN","Tamil Nadu","madurai","3","30-39","Male","0","Yes","IT","Yes","1-5","1-5","7+","6","6","7+","6","5","7+","6","7+","5","7+","6","5","7+","7+","6","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5386",NA,NA
"187","True","2020-06-01 10:53:04",NA,"EN","Kerala","kannur","5+","30-39","Female","0","Yes","accountant","No","0","0","0","1","1","0","2","0","0","0","2","3","2","2","3","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","0","0","1","0","0","0","0","0",NA,"6454",NA,NA
"255","True","2020-06-01 10:53:10",NA,"EN","Maharashtra","Mumbai","3","40-49","Male","1","No",NA,"Yes","1-5","0","5","2","0","0","2","0","0","0","7+","2","0","0","3","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","0","0","0","0","0","3","0","0","0","2","2",NA,"5971",NA,NA
"233","True","2020-06-01 10:53:57",NA,"EN","Haryana","Gurgaon","4","20-29","Male","1","Yes","Sales And Marketing Manager","Yes","1-5","0","1","3","0","1","1","0","1","1","2","5","1","2","2","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","2","1","2","2","2","2","3","2","4",NA,"5199",NA,NA
"273","True","2020-06-01 10:54:03",NA,"EN","Tamil Nadu","madur","4","30-39","Male","4","Yes","dada","Yes","6-10","6-10","3","5","6","5","6","5","6","6","3","5","6","5","6","5","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","5+","4","3","4","4","5+","3","4","5+","4",NA,"6197",NA,NA
"257","True","2020-06-01 10:54:19",NA,"EN","Tamil Nadu","madurai","3","30-39","Male","4","Yes","engineer","No","1-5","1-5","6","7+","6","6","7+","7+","6","7+","6","7+","6","6","6","7+","6","7+","4","5+","5+","4","5+","4","5+","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8308",NA,NA
"211","True","2020-06-01 10:54:33",NA,"EN","Kerala","kochi","4","20-29","Male","1","Yes","amazon mturker","No","6-10","6-10","1","2","1","2","2","1","2","1","2","1","2","1","2","2","1","2","0","1","2","4","1","2","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7729",NA,NA
"148","True","2020-06-01 10:54:45",NA,"EN","Tamil Nadu","MADURAI","4","20-29","Male","4","Yes","BUSINESSMAN","Yes","6-10","1-5","6","5","6","7+","5","7+","6","5","6","7+","6","7+","6","7+","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","5+","4","4","5+","5+","4","5+","4",NA,"3351",NA,NA
"233","True","2020-06-01 10:55:37",NA,"EN","Tamil Nadu","selam","4","30-39","Male","0","Yes","sale","No","1-5","1-5","5","6","6","7+","6","5","7+","6","5","6","5","5","6","5","4","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","3","4","5+","4","5+","4","3","4","5+",NA,"4958",NA,NA
"93","True","2020-06-01 10:55:51",NA,"EN","Tamil Nadu","madurai","1","30-39","Male","0","Yes","manufacturing","No","1-5","1-5","6","6","7+","6","7+","5","6","7+","6","7+","6","5","6","7+","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"2197",NA,NA
"166","True","2020-06-01 10:56:07",NA,"EN","Tamil Nadu","COIMBATORE/POLLACHI","4","20-29","Male","2","Yes","SOFTWARE","Yes","1-5","1-5","0","2","2","0","3","1","1","0","1","3","2","1","2","1","0","0","2","1","1","2","2","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2423",NA,NA
"326","True","2020-06-01 10:56:26",NA,"EN","Tamil Nadu","madurai","4","30-39","Male","3","Yes","engg","Yes","11-15","6-10","7+","7+","6","7+","7+","6","6","7+","6","6","7+","7+","7+","6","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","4","5+","5+","4","5+","5+","4","4","4","5+",NA,"3461",NA,NA
"244","True","2020-06-01 10:57:04",NA,"EN","Maharashtra","Mumbai","2","20-29","Male","0","No",NA,"No","0","0","0","1","0","1","0","0","2","1","0","1","0","0","0","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","1","0","0","0","0","0","1",NA,"1384",NA,NA
"2143","True","2020-06-01 10:58:13",NA,"EN","Karnataka","Bangalore","1","20-29","Male","0","Yes","Java Developer","No","6-10","1-5","3","5","2","2","4","3","3","3","2","5","3","3","4","3","2","5","4","5+","5+","4","4","5+","5+","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3337",NA,NA
"234","True","2020-06-01 10:58:57",NA,"EN","Kerala","Ernakulam","5+","30-39","Female","1","Yes","Technician","No","1-5","1-5","0","1","1","0","1","0","0","0","0","1","1","0","1","0","0","0","3","3","0","0","5+","5+","5+","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8651",NA,NA
"277","True","2020-06-01 10:59:18",NA,"EN","Maharashtra","Parbhani","4","20-29","Male","0","Yes","Jr Engineer private service","No","0","0","0","1","2","0","1","0","0","0","0","0","0","0","1","0","0","0","1","3","3","2","2","2","3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3291",NA,NA
"102","True","2020-06-01 10:59:26",NA,"EN","Tamil Nadu","madurai","2","30-39","Female","0","Yes","manufacturing","Yes","1-5","1-5","6","7+","7+","6","7+","6","7+","7+","6","7+","6","7+","5","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","5+","4","5+","4","5+","4","3","5+","4","5+",NA,"4888",NA,NA
"101","True","2020-06-01 10:59:50",NA,"EN","Kerala","palakad","5+","40-49","Female","5+","No",NA,"No","1-5","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","0","0","0","0","0","0",NA,"3906",NA,NA
"47","True","2020-06-01 11:00:19",NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"8144",NA,NA
"270","True","2020-06-01 11:00:30",NA,"EN","Tamil Nadu","chennai","2","30-39","Male","0","Yes","manager","No","1-5","0","0","2","2","1","0","0","0","0","1","2","3","2","3","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","3","2","1","2","2","4",NA,"3075",NA,NA
"163","True","2020-06-01 11:00:47",NA,"EN","Tamil Nadu","salem","5+","20-29","Female","2","Yes","Software Engineer","No","1-5","0","1","1","1","1","1","1","1","1","2","2","2","1","4","2","2","2","1","1","1","1","2","2","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2508",NA,NA
"284","True","2020-06-01 11:00:51",NA,"EN","Tamil Nadu","tirupur","4","30-39","Female","5+","Yes","online job","No","6-10","11-15","5","3","2","4","5","4","2","5","5","4","2","3","4","5","3","4","3","2","3","4","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9099",NA,NA
"236","True","2020-06-01 11:01:18",NA,"EN","Tamil Nadu","madurai","2","20-29","Male","2","Yes","self employed","Yes","1-5","1-5","2","4","3","5","3","5","4","3","3","2","5","3","5","4","3","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","3","2","3","4","3","2","1","4","2","4",NA,"5621",NA,NA
"642","True","2020-06-01 11:01:24",NA,"EN","Kerala","Trivandrum","5+","40-49","Male","2","Yes","self employed","Yes","1-5","0","0","1","1","1","1","0","0","0","0","1","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","0","0","0","0","0","0",NA,"6412",NA,NA
"335","True","2020-06-01 11:02:35",NA,"EN","Maharashtra","Mumbai","5+","40-49","Male","1","No",NA,"No","6-10","0","0","2","1","0","1","0","2","6","0","1","1","1","1","1","1","5",NA,NA,NA,NA,NA,NA,NA,NA,"2","0","0","1","0","2","2","0","0","1","0","0",NA,"4272",NA,NA
"111","True","2020-06-01 11:03:12",NA,"EN","Tamil Nadu","salem","5+","20-29","Female","1","No",NA,"No","11-15","0","1","1","1","1","1","1","1","1","3","2","2","2","2","2","2","4",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","2","2",NA,"1","3","5+",NA,"4231",NA,NA
"316","True","2020-06-01 11:05:03",NA,"EN","Tamil Nadu","sivagangai","2","20-29","Male","0","Yes","data entry operator","No","0","1-5","1","0","1","1","1","2","2","2","1","0","1","1","1","2","2","1","1","2","1","0","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8688",NA,NA
"247","True","2020-06-01 11:05:38",NA,"EN","Maharashtra","Mumbai","3","40-49","Female","0","Yes","Teacher","No","0","0","0","1","1","1","1","1","0","3","0","1","1","1","1","1","0","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","0","1","0","1","0","0",NA,NA,"8556",NA,NA
"294","True","2020-06-01 11:07:49",NA,"EN","Tamil Nadu","tirupur","2","30-39","Female","0","No",NA,NA,"0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","1","0","0","0","0","0",NA,"6475",NA,NA
"351","True","2020-06-01 11:08:00",NA,"EN","Maharashtra","Mumbai","3","20-29","Female","0","Yes","Senior sales manger","Yes","0","1-5","0","2","0","0","1",NA,"0","2","0","2","1","0","2","0","0","3","1","1","0","2","2","2","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4366",NA,NA
"100","True","2020-06-01 11:08:02",NA,"EN","Tamil Nadu","madurai","0","20-29","Male","0","Yes","occupation","Yes","6-10","0","5","6","7+","6","6","7+","6","6","6","7+","6","6","7+","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","5+","4","5+","4","4","5+","5+","4","4","5+",NA,"7457",NA,NA
"126","True","2020-06-01 11:11:16",NA,"EN","Tamil Nadu","madurai","2","30-39","Female","2","Yes",NA,"No","1-5","1-5","6","7+","6","5","7+","7+","5","6","5","7+","6","5","7+","6","7+","6","3","4","5+","4","4","5+","5+","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9559",NA,NA
"130","True","2020-06-01 11:12:12",NA,"EN","Tamil Nadu","MADURAI","1","20-29","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","5","6","7+","5","6","5","6","7+","5","6","7+","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"4987",NA,NA
"268","True","2020-06-01 11:12:42",NA,"EN","Tamil Nadu","madurai","4","30-39","Male","3","Yes","engineer","No","1-5","1-5","7+","6","5","7+","6","6","7+","6","7+","6","5","6","7+","6","6","7+","3","4","4","4","4","4","5+","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1146",NA,NA
"575","True","2020-06-01 11:17:44",NA,"EN","Kerala","Trivandrum","4","60+","Male","1","No",NA,"Yes","0","0","1","3","1","1","3","0","0","1","1","3","1","1","2","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","0","0","1","1","1","0","0","0",NA,"5204",NA,NA
"250","True","2020-06-01 11:20:06",NA,"EN","Maharashtra","MUMBAI","3","40-49","Male","0","Yes","Business","No","1-5","0","0","2","0","0","1","0","0","2","0","0","0","0","0","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","0","0","0","1","1","0","0","0","0",NA,"2805",NA,NA
"179","True","2020-06-01 11:20:20",NA,"EN","Maharashtra","Mumbai","5+","20-29","Male","1","Yes","Marketing Manager in FMCG.","Yes","1-5","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","1","0","1","1","1","1","1","1","1",NA,"9280",NA,NA
"283","True","2020-06-01 11:21:51",NA,"EN","Maharashtra","Mumbai","1","20-29","Male","0","Yes","Filmmaking","No","0","0","0","3","3","1","2","0","0","4","0","3","0","0","2","0","0","0","5+","5+","2","5+","5+","5+","1","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3888",NA,NA
"192","True","2020-06-01 11:22:37",NA,"EN","Uttar Pradesh","Hardoi","5+","20-29","Male","2","Yes","Shopowner","No","1-5","0","0","2","0","0","0","0","1","0","3","4","5","4","4","4","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","0","3","2","2","1","2","1",NA,"5355",NA,NA
"321","True","2020-06-01 11:24:31",NA,"EN","Maharashtra","Mumbai","5+","20-29","Male","2","Yes","Talent manager","Yes","1-5","0","0","1","0","0","0","3","0","2","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2169",NA,NA
"971","True","2020-06-01 11:24:42",NA,"EN","Maharashtra",NA,"3","40-49","Male","2","Yes","Business","Yes","1-5","0","2","2","2","1","1","1","0","2","0","1","1","0","1","1","0","2","1","1","5+","1","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5446",NA,NA
"122","True","2020-06-01 11:25:04",NA,"EN","Uttar Pradesh","HARDOI","5+","20-29","Male","2",NA,"SHOPOWNER","No","1-5","0","0","2","0","0","1","0","1","0","2","2","3","3","1","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","0","2","1","1","1","2","2",NA,"1453",NA,NA
"399","True","2020-06-01 11:25:30",NA,"EN","Maharashtra","Mumbai","5+","40-49","Female","3","No",NA,"Yes","0","0","1","2","1","0","0","1","0","0","1","1","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","0","0","2","1","1","1","0","0","0",NA,"5989",NA,NA
"266","True","2020-06-01 11:26:11",NA,"EN","Maharashtra","Mumbai","5+","40-49","Female","0","Yes","Nutritionist","No","1-5","0","5","1","1","1","1","0","0","3","0","0","1","1","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","0","1","1","1","1","1","1",NA,"8535",NA,NA
"77","True","2020-06-01 11:28:26",NA,"EN","Tamil Nadu","maturai","0","20-29","Male","0","Yes","employed","Yes","1-5","0","6","7+","7+","6","7+","6","6","7+","6","7+","6","7+","6","6","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","5+","5+","4","5+","4","5+","5+","4","4","5+",NA,"8716",NA,NA
"121","True","2020-06-01 11:31:21",NA,"EN","Tamil Nadu","madurai","4","20-29","Female","1","Yes","manager","Yes","1-5","1-5","5","4","3","4","4","4","4","5","4","5","4","3","4","3","5","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","3","3","3","2","3","2","3","2","4","4",NA,"6104",NA,NA
"220","True","2020-06-01 11:32:17",NA,"EN","Maharashtra","Mumbai","4","30-39","Male","0","Yes","Marketing & Sales","No","1-5","0","0","1","0","0","2","0","0","0","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9334",NA,NA
"323","True","2020-06-01 11:32:25",NA,"EN","Maharashtra","Mumbai","1","20-29","Female","0","Yes","Lawyer","Yes","1-5","0","0","2","0","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","2","2","1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6889",NA,NA
"194","True","2020-06-01 11:33:34",NA,"EN","Tamil Nadu","maturai","0","20-29","Male","0","Yes","employed,","Yes","1-5","1-5","7+","6","7+","6","7+","6","7+","6","6","7+","6","7+","6","7+","6","6","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1719",NA,NA
"405","True","2020-06-01 11:33:41",NA,"EN","Maharashtra","Mumbai","1","20-29","Male","1","Yes","Project Management","No","0","0","0","1","1","0","0","0","3","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7651",NA,NA
"113","True","2020-06-01 11:35:50",NA,"EN","Bihar","patna","3","20-29","Male","2","Yes","clerk","Yes","1-5","1-5","4","5","3","2","3","4","4","5","6","4","4","5","4","6","2","3","2","4","2","0","2","4","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9906",NA,NA
"216","True","2020-06-01 11:36:32",NA,"EN","Maharashtra","Mumbai","5+","20-29","Male","1","Yes","Business Owner","Yes","1-5","0","0","3","1","1","3","0","0","3","0","3","1","1","1","0","0","3",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","0","1","0","1","1","1","0","1","0","1",NA,"2028",NA,NA
"218","True","2020-06-01 11:36:58",NA,"EN","Tamil Nadu","madurai","3","20-29","Male","1","Yes","manager","No","1-5","1-5","1","2","1","0","0","1","0","1","2","1","1","0","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","3","2","3","3","3","2","3","2","3","4",NA,"1862",NA,NA
"279","True","2020-06-01 11:37:15",NA,"EN","Maharashtra","Mumbai","2","40-49","Female","0","No",NA,"No","1-5","0","1","1","0","1","1","1","0","2","1","1","1","1","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","1","0","0","0","0","0",NA,"6852",NA,NA
"124","True","2020-06-01 11:38:52",NA,"EN","Tamil Nadu","maturai","0","20-29","Male","0","Yes","employed,","Yes","1-5","1-5","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","5+","4","5+","4","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4078",NA,NA
"106","True","2020-06-01 11:39:31",NA,"EN","Tamil Nadu","madurai","0","0-19","Male","2","Yes","employed","Yes","0","1-5","6","7+","7+","6","6","7+","6","6","6","7+","6",NA,"7+","7+","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","5+","5+","4","4","4","4","5+","4","4","4",NA,"4765",NA,NA
"277","True","2020-06-01 11:41:56",NA,"EN","Maharashtra","Mumbai","5+","40-49","Male","0","Yes","Graphics Designer & Printers","No","1-5","0","7+","7+","2","2","1","0","0","0","7+","7+","3","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","0","1","1","1","0","0","1","1","1","1",NA,"2728",NA,NA
"115","True","2020-06-01 11:43:39",NA,"EN","Tamil Nadu","madurai","0","20-29","Male","1","Yes","employed","Yes","1-5","0","6","7+","6","7+","6","6","7+","7+","6","7+","6","6","6","7+","7+","6","4","5+","5+","4","4","5+","5+","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3501",NA,NA
"123","True","2020-06-01 11:45:56",NA,"EN","Tamil Nadu","maturai","0","20-29","Male","0","Yes","employed","Yes","1-5","1-5","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","5+","4","5+","4","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9791",NA,NA
"210","True","2020-06-01 11:46:07",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Male","4","Yes","MANAGER","No","1-5","1-5","3","3","3","3","3","3","3","3","3","2","3","2","3","2","3","2","4","4","4","4","4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3716",NA,NA
"241","True","2020-06-01 11:46:27",NA,"EN","Maharashtra","Mumbai","4","50-59","Male","1","Yes","Procurement Head","No","0","0","0","2","1","0","0","0","0","1","0","2","1","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","0","0","0","0","0","0",NA,"4623",NA,NA
"107","True","2020-06-01 11:48:34",NA,"EN","Kerala","kollam","5+","20-29","Male","1","Yes","software enginner","Yes","0","0","1","2","1","0","1","0","0","1","2","3","2","3","3","3","4","3","1","1","0","1","2","4","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5788",NA,NA
"164","True","2020-06-01 11:48:49",NA,"EN","Tamil Nadu","Coimbatore","4","20-29","Male","1","Yes","Technical Engineer","Yes","1-5","1-5","5","6","2","3","5","3","4","6","5","3","4","7+","6","4","2","5",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","5+","4","2","3","2","4","3","5+","4","2",NA,"4565",NA,NA
"241","True","2020-06-01 11:49:02",NA,"EN","Karnataka","Bangalore","5+","20-29","Male","2","Yes","Private IT Employee","Yes","1-5","0","0","0","3","0","4","0","0","0","3","4","2","0","4","0","6","0",NA,NA,NA,NA,NA,NA,NA,NA,"5+","2","1","2","0","1","5+","1","0","1","0","0",NA,"7142",NA,NA
